index,user_id,click_article_id,rating,user,book
1104822,60597,97072,1.0,0,0
2869796,294038,96103,1.0,1,1
1470589,86470,214800,1.0,2,2
1713490,109140,133160,1.0,3,3
411875,19731,156964,1.0,4,4
2244512,168259,124228,1.0,5,5
2660795,240955,86799,1.0,6,6
19760,786,84019,1.0,7,7
795042,44624,199844,1.0,8,8
1572765,94953,273395,1.0,9,9
1370039,79149,97053,1.0,10,10
2574124,223083,270799,1.0,11,11
2296310,176105,183176,1.0,12,12
1675392,105174,123757,1.0,13,13
2331153,181316,168623,1.0,14,14
2018280,140161,58333,1.0,15,15
2382744,189545,124228,1.0,16,5
370421,17329,214283,1.0,17,16
2758287,262683,42476,1.0,18,17
1212190,67742,70862,1.0,19,18
397747,18895,64407,1.0,20,19
380570,17898,124353,1.0,21,20
980800,53719,272143,1.0,22,21
1247593,70352,162300,1.0,23,22
866260,47922,288320,1.0,24,23
1792808,117729,320565,1.0,25,24
1427884,83228,336221,1.0,26,25
238934,10935,158192,1.0,27,26
2145258,155245,292610,1.0,28,27
2606122,229501,336380,1.0,29,28
266914,12179,321078,1.0,30,29
732464,40294,207122,1.0,31,30
683618,36802,272660,1.0,32,31
2083608,147684,58193,1.0,33,32
2281481,173737,271921,1.0,34,33
2900467,304007,336245,1.0,35,34
344007,15944,293114,1.0,36,35
545458,27099,234698,1.0,37,36
2264888,171112,70591,1.0,38,37
677398,36333,338350,1.0,39,38
1016100,55586,283116,1.0,40,39
444943,21544,206785,1.0,41,40
469428,22847,273348,1.0,42,41
1221458,68364,160417,1.0,43,42
1987711,136765,198605,1.0,44,43
748024,41447,64329,2.0,45,44
1879193,125869,272218,1.0,46,45
1331545,76395,276970,1.0,47,46
2020943,140442,271551,1.0,48,47
189537,8528,337442,1.0,49,48
187664,8452,337735,1.0,50,49
853924,47376,215693,1.0,51,50
1671024,104758,47794,1.0,52,51
494217,24166,156654,1.0,53,52
2755638,261996,119534,1.0,54,53
1382776,80102,29953,1.0,55,54
2353275,184716,119197,1.0,56,55
1552375,93127,59758,1.0,57,56
1038204,56851,36685,1.0,58,57
1203777,67109,313504,1.0,59,58
334160,15526,338340,1.0,60,59
736625,40631,209013,1.0,61,60
2020366,140382,358109,1.0,62,61
512784,25246,209200,1.0,63,62
905454,49678,337192,1.0,64,63
1812275,119880,156624,1.0,65,64
1499073,88721,123757,1.0,66,13
2112539,151372,118391,1.0,67,65
1635286,100965,208981,1.0,68,66
2502442,209437,123826,1.0,69,67
1380708,79968,58190,1.0,70,68
2269470,171860,211415,1.0,71,69
1239200,69678,336380,1.0,72,28
1314411,75186,236648,1.0,73,70
1295366,73737,284844,1.0,74,71
1873320,125344,331575,1.0,75,72
1062699,58195,140852,1.0,76,73
135557,5915,206735,1.0,77,74
375190,17595,183176,1.0,78,12
1148403,63362,123614,1.0,79,75
353996,16481,160940,1.0,80,76
675953,36210,123613,1.0,81,77
2526375,213816,336223,1.0,82,78
558304,27926,156963,1.0,83,79
946766,51798,119189,1.0,84,80
1757153,113870,289090,1.0,85,81
1735672,111506,31520,1.0,86,82
2188123,160635,257291,1.0,87,83
1019374,55759,284096,1.0,88,84
1967532,134555,199197,1.0,89,85
1842651,122667,234267,1.0,90,86
354977,16530,20025,1.0,91,87
340218,15794,159275,1.0,92,88
2256889,169987,157759,1.0,93,89
1052504,57608,124748,1.0,94,90
628030,32846,313504,1.0,95,58
2858878,290687,159529,1.0,96,91
320946,14886,65768,1.0,97,92
780639,43703,16087,1.0,98,93
1684320,106108,123757,1.0,99,13
2745359,259542,331746,1.0,100,94
2852868,288874,50494,1.0,101,95
139767,6124,141491,1.0,102,96
2740600,258360,234268,1.0,103,97
2332806,181569,336220,2.0,104,98
2344769,183420,293218,1.0,105,99
1815850,120229,64329,1.0,106,44
2885322,298970,225010,1.0,107,100
1884136,126295,337192,1.0,108,63
1648762,102366,209122,1.0,109,101
253255,11544,199078,1.0,110,102
1413830,82247,237524,1.0,111,103
608939,31460,123909,1.0,112,104
2095224,149094,235440,1.0,113,105
780826,43713,284844,1.0,114,71
2810283,276454,49091,1.0,115,106
1518228,90245,199198,1.0,116,107
52935,2151,48403,2.0,117,108
2406145,193357,303565,1.0,118,109
389549,18375,58891,1.0,119,110
206756,9355,234006,1.0,120,111
784107,43937,87201,1.0,121,112
497852,24389,124749,1.0,122,113
1870226,125048,158915,1.0,123,114
626213,32702,214206,1.0,124,115
19933,789,107070,1.0,125,116
788409,44206,225463,1.0,126,117
531056,26237,235132,1.0,127,118
46393,1890,73422,1.0,128,119
2696940,248196,31836,1.0,129,120
1111576,61040,156123,1.0,130,121
2641502,237071,87179,1.0,131,122
1986781,136658,59057,1.0,132,123
1174028,65020,50823,1.0,133,124
1873992,125407,202289,1.0,134,125
878945,48505,225124,1.0,135,126
334141,15526,123826,1.0,60,67
1204731,67165,123289,1.0,136,127
1428796,83302,124194,1.0,137,128
525058,25924,36162,1.0,138,129
120367,5203,108854,1.0,139,130
489630,23916,284773,1.0,140,131
1895280,127352,117529,1.0,141,132
1583304,95896,235715,1.0,142,133
1873804,125387,293114,1.0,143,35
448385,21730,172760,1.0,144,134
1144117,63095,158082,1.0,145,135
468172,22790,129434,1.0,146,136
305047,14110,162655,1.0,147,137
277276,12700,362533,1.0,148,138
175362,7816,289126,1.0,149,139
1463987,85951,124177,1.0,150,140
132802,5843,87232,1.0,151,141
2115051,151678,303533,1.0,152,142
1488421,87891,293218,1.0,153,99
729872,40106,64329,1.0,154,44
1014620,55497,234513,1.0,155,143
2340057,182728,352901,1.0,156,144
2699860,248803,36162,1.0,157,129
2403229,192866,182977,1.0,158,145
2215045,164189,276946,1.0,159,146
460548,22381,285533,1.0,160,147
398433,18939,336380,1.0,161,28
2391384,190964,293513,1.0,162,148
1725946,110430,293301,1.0,163,149
2790773,271223,234269,1.0,164,150
1026894,56181,288844,1.0,165,151
1339842,76999,276970,1.0,166,46
